GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UnitTests,com.itvdn,Main,80,0,2,0,21,0,3,0,2,0
UnitTests,com.itvdn,Rab,28,115,1,9,8,32,2,11,1,7
